,hd1,hd2,hd4,hd6,hd8,hd16,hd32,hd64,hd128
1,24.15888941060636,22.26360295782356,26.258494564028677,22.224246194292338,19.803166806972154,27.153508032328396,27.076136256793504,20.862824389676877,22.464408493075307
3,32.31006175204343,18.286800773730448,23.974576821431928,16.787777906984388,23.808033624181725,24.275520679522316,23.815703637922457,24.06226288251501,23.811302355949536
4,19.721127830779693,16.33446190175617,21.399234771190294,19.39737788984335,15.880804862028857,17.31692303641403,17.47862095384901,16.559462413325136,16.432742953892962
5,29.673086636868497,19.801680650789987,25.263484354948616,18.741189801282232,25.140764623843076,25.613610300419374,25.009740132694365,25.383665151934718,25.097954558545496
6,27.223290054477225,19.973316087907072,24.131292983114662,26.25848995962937,24.377972501480855,19.78819614360864,21.235313243806495,21.889598604451294,20.186452721026406
8,21.852628210536956,18.937618779789325,16.606853147273473,22.41754548909215,28.05678786919767,22.088878698197423,21.047392143637072,28.09607599139104,15.965765229337425
9,26.39814932811067,17.661653029411262,27.028405473786947,23.65600328186876,25.17542737251288,26.804878893799902,24.608571270752535,25.023790362865096,21.642195381381974
10,23.977358741355545,25.049631461344678,23.158669740351613,23.931223093422105,26.328751123938652,26.805468301299914,26.146801916406517,26.258626505958876,21.894701616232155
13,20.506340172036303,14.495417629622123,16.43723686199474,16.270232236176,26.850930617174804,17.81550801024497,20.70567189721006,20.381298172350736,15.133234698263053
14,29.607063610450016,20.718691602584684,22.868671328242023,25.414566495788648,22.844646739797856,22.91214500063951,22.357219657085942,19.95699359185749,18.626020094619328
15,25.087115673305355,20.063291442144457,19.95917494196905,20.804398191555194,19.627947943592176,19.66252423752785,19.504480823923146,19.456205464754905,19.733129780603885
16,22.695839195710498,16.591018388245423,17.6117337539991,19.986052170672515,15.641367876610133,15.747296381228878,16.736340072619512,16.398913564394554,15.6839827356274
17,34.60446490920549,18.590787025920946,20.113001085963013,27.88343101703397,20.015609237859245,20.070071815051822,19.902636750658843,19.909732668447177,19.978064934083193
18,24.661749761144833,17.55384720035098,28.019998354644308,23.569060140928052,27.9079648412204,27.774616654002138,27.503051462386235,27.658376175485728,17.832747975572524
average,25.891226091902205,19.02298706653008,22.345059155924172,21.952970990612076,22.961441145743603,22.4163675845918,22.366262872838977,22.27841613852919,19.605907394872187
