,hd1,hd2,hd4,hd8,hd16,hd32,hd64,hd128
1,0.94126531203827,0.9404938116226413,0.9456033432724076,0.9411534009511751,0.9411444744701678,0.9480979343459086,0.9385094062470195,0.9399713035163502
3,0.9527938875490022,0.9734985451405451,0.9688762379418514,0.9763334871160567,0.974447102321949,0.9747523694845918,0.9752085587975934,0.9780444000565819
4,0.9256331112771858,0.945994610932834,0.9264718794092311,0.9545449358231187,0.9467948293187216,0.9550608245106489,0.9441131390358571,0.9441014062303006
5,0.9545422590327944,0.9760044742246623,0.9742227994105561,0.9793661357017776,0.977317738228628,0.9780422415710955,0.9779798880650975,0.9806762805301302
6,0.9527076653545308,0.967845250586262,0.9649888952374391,0.971760965551177,0.9685852664266158,0.9721976694618127,0.9662104499910154,0.9665660510097893
8,0.9437146929850032,0.9579817313761219,0.964239545074953,0.9712863558763998,0.9625789104011909,0.969323081855513,0.9679497703035689,0.9717300489619681
9,0.9495638952767361,0.9583121657477398,0.9530792934688351,0.9647641273937124,0.960267197141826,0.9653285681794007,0.9563379955265396,0.9559199054129635
10,0.960162276684028,0.9734416245146347,0.9681149475787183,0.9759618192496471,0.9753896339203595,0.974537972735442,0.9731585689557856,0.9746621786048165
13,0.9329489605239044,0.9548009450194702,0.9463353357933918,0.9620192238226997,0.9557463939587624,0.9575308355771901,0.9503819707084269,0.954014121694695
14,0.9564888445938927,0.9685876420219729,0.9557404132548518,0.9728800373149422,0.9719046624687833,0.9712429825187714,0.9659585695621713,0.9665196749755718
15,0.9569278464438481,0.9740746434041423,0.9615238153917032,0.9773997124234355,0.9764859918085541,0.9750188862487777,0.9776973630538942,0.9784433319043325
16,0.9232059038036784,0.9451656018909392,0.934648305002601,0.9540141963992559,0.9459719045495686,0.9543536215976731,0.9433257134830149,0.9431194122790095
17,0.9568419866004244,0.9741358834075445,0.964971270454686,0.9773484513054022,0.9762524199558741,0.9752751392586185,0.977911958169794,0.9788754091886062
18,0.9509817827170449,0.9722527230067959,0.9655399041840086,0.9744952849020975,0.9736604686403459,0.9726449578131451,0.9709625333077561,0.9731978225835325
average,0.9469841732057389,0.9630421180640217,0.9567397132482309,0.968094866702207,0.9647533566865246,0.9673862203684707,0.9632647060862524,0.9647029533534749
