,hd1,hd2,hd4,hd8,hd16,hd32,hd64,hd128
1,0.9352683112931562,0.9324479242286008,0.9378058873654945,0.9329211183989919,0.9331583188625014,0.9355939153814269,0.9319964376814441,0.9333785070462555
3,0.9457198208818443,0.9548383840965322,0.9527589226125296,0.9552093759410152,0.9548805886724961,0.9547025736471225,0.9551816105903782,0.9562395395534233
4,0.9189610147098433,0.9240354919836408,0.9198170207483006,0.9264536495767836,0.9252752052339432,0.9268095231683419,0.9245906222306475,0.9245432056423278
5,0.949520884342638,0.9601673037920079,0.9592072855228625,0.9609533873600723,0.9604489310129307,0.960513762320549,0.9607131555106212,0.961739494645741
6,0.9506675890924191,0.9580677606294504,0.9561802899531896,0.9587516339173539,0.9580509776739488,0.9588323908132301,0.95716243423687,0.9570656942957211
8,0.9408200010756066,0.9479077715299242,0.9516379748403453,0.955989426408118,0.9507501889900899,0.9549596711769168,0.9547840831463766,0.9567718010519884
9,0.944110988903401,0.947140040526178,0.9468576621793348,0.948593678762325,0.9472984186991094,0.9491094102400986,0.9463839867620479,0.9464629510975713
10,0.9555748388582467,0.9611528685947195,0.9589220495526256,0.9616217204369653,0.9612703949405276,0.9611654941693261,0.9604120238689684,0.9611188733049458
13,0.9270986569479646,0.9394453054416018,0.9323074954372091,0.9413931993996483,0.940631336377573,0.9394727820301239,0.9375569184196064,0.9395990853135174
14,0.9515349725786205,0.9507985156909248,0.9489225862696684,0.9521004627447253,0.9519040180404386,0.9512519009330975,0.9504095847626061,0.9506958249218195
15,0.9416353911099601,0.9403233422235787,0.9388480071686227,0.9405625647415795,0.9405015867229358,0.9401580290426198,0.9404825381465958,0.9406121832876793
16,0.9177808286290131,0.9227317439094705,0.9220648518265311,0.92531452110345,0.9237831106363865,0.9252301030339161,0.9233227797118506,0.9230941925784977
17,0.9432938273198302,0.9432428886571163,0.9414804517950606,0.9433667553311702,0.9432322224489949,0.9428926118261602,0.9435120459552137,0.9438211176223394
18,0.9483409254418547,0.9601746291473819,0.9558720125403922,0.960543229049273,0.9603462351247365,0.959338740458858,0.9591253383760748,0.9602381283158368
average,0.9407377179417429,0.9458909978893661,0.9444773212722977,0.9474124802265339,0.9465379666740439,0.9471450648744134,0.9461166828142357,0.9468128999055475
