,hd1,hd2,hd4,hd8,hd16,hd32,hd64,hd128
1,0.9544589690315375,0.9440135339343089,0.953716060663015,0.9387447375900344,0.9651688092135972,0.9513491422073198,0.9402425723316795,0.9477241201009622
3,0.9949334215800942,0.9606387821473885,0.9639278548326305,0.9645053980341733,0.9683797501823821,0.9657469640640163,0.967441810392841,0.9650026631873476
4,0.9561642134459853,0.9295843759198529,0.9580442567159116,0.92823251026982,0.9334592641233045,0.931120748317276,0.930469820184374,0.9305169444233955
5,0.9904712139994032,0.9629092842402956,0.9702439807295762,0.9702570143199417,0.9742844116882351,0.9709884504525632,0.9732404979829167,0.9706720319716557
6,0.9836992182357208,0.9562672253599547,0.9617179173101079,0.958965475154083,0.9541412947119713,0.9561081348701956,0.9563891475000802,0.9530396493647162
8,0.9714760090572891,0.9632100122547032,0.9500965336816575,0.9754652839549627,0.9721376558086932,0.9689107477498401,0.9745385331260055,0.9473515967343125
9,0.974854101911646,0.9546741903868803,0.9635573045595582,0.9557774405786582,0.963998464236919,0.96464372806923,0.958311043460738,0.9573627482232743
10,0.9664277495670172,0.9742751725402018,0.9698452153029228,0.9722195197308007,0.9735506820411072,0.9730495755804263,0.971871467421236,0.9673798435578581
13,0.9510017286107141,0.9280779211960665,0.9312560436181123,0.9586081949365638,0.9398829820500142,0.9545308001924422,0.9448628055359646,0.9270036087321712
14,0.9839990269208592,0.9646505079807677,0.95793068618371,0.9559516843189614,0.9570272766773962,0.9568358817528688,0.9564939094855449,0.9618522329260563
15,0.9863955999371552,0.9568870867475289,0.947951579015028,0.9478976221859782,0.9493198699689072,0.9482753865636407,0.9486733679891313,0.9481466574613316
16,0.9704655699775625,0.9337127310209496,0.9471053226698795,0.9307078358089452,0.9307914041637737,0.930468517156949,0.92928518076481,0.9286111823941494
17,0.9955240785095348,0.9597716280731695,0.951358938760319,0.949745137227417,0.9526318937371079,0.9504178609074955,0.9515182634311876,0.9505225725208784
18,0.986088603339103,0.9583319539085532,0.9733316713651327,0.9745729372864493,0.9741374804580852,0.9757630674383599,0.9723174541965572,0.9572524778744759
average,0.9761399645802589,0.9533574575507587,0.9571488118148256,0.955832199385485,0.957779374218678,0.9570149289516161,0.9554039909859334,0.9508884521051846
