,hd1,hd2,hd4,hd8,hd16,hd32,hd64,hd128
1,0.9357295535294835,0.9363904886699099,0.9387141770772994,0.9374782432839186,0.9329198096635969,0.9319051345349013,0.942608048823589,0.9405718944882139
3,0.9462973501861637,0.9474646331164978,0.9557107808514297,0.9561753976876665,0.9575210064917917,0.9557374052998212,0.9566016753237223,0.9560073132007516
4,0.9163217784447782,0.9161158176021118,0.9164540497289385,0.915363851166309,0.9163126512325714,0.916789213534063,0.9161737418125268,0.9155870486850006
5,0.949334907566263,0.9516485273995701,0.9597667757534714,0.9607097741429876,0.9619427700661061,0.9606253785145097,0.9607189897968372,0.9600536231052944
6,0.9496230419973821,0.9470872536001591,0.95096876790758,0.9500977891317778,0.9471226434954665,0.9484921434764653,0.9486657279392291,0.9471115036523386
8,0.9393365934449112,0.9388561985138161,0.9411656973160979,0.9590470912076198,0.9516841339915983,0.951886478498823,0.9574853475881685,0.938979680748047
9,0.9448118784413085,0.9422147305519379,0.9497018413671914,0.9454494611745736,0.9450082615795524,0.9450769943921463,0.9454467447427546,0.9435192452125446
10,0.9576173457397245,0.9611325617628528,0.9594207972818083,0.9603257694441254,0.9607161053810063,0.9605852893746798,0.9613699146653651,0.9577995705640949
13,0.9229158980492816,0.9183370042461864,0.9229774601367063,0.934595341963225,0.9267932971588765,0.9330645633129693,0.9340688205914462,0.919179053328557
14,0.9520651464010438,0.9504301073447199,0.9523625674915552,0.9503944874936752,0.9516381331679243,0.950940322644169,0.9517135695883487,0.9509813416876317
15,0.9414471993621816,0.9492632976118859,0.9457536118767698,0.9450905957385002,0.9466648917175157,0.9447853612757244,0.9457422580907895,0.9454751103611827
16,0.915496724377747,0.9155132995402497,0.9147290846107443,0.9149460986197546,0.9142038632652736,0.9152482335894266,0.9153399713454705,0.9139910187748377
17,0.9432755474605742,0.944669572456898,0.9472701866205756,0.9464456078686615,0.9484223038106366,0.9463557016209772,0.9473414934732309,0.9475783768987517
18,0.9470747208443702,0.9469878951466972,0.9616811045367907,0.9597308883325328,0.9592399989039461,0.9593663226686706,0.9607190612605314,0.9483051694117463
average,0.940096263274658,0.9404365276831067,0.9440483501826399,0.9454178855182377,0.9442992764232759,0.9443470387669534,0.9459996689315723,0.9417957107227852
