,hd1,hd2,hd4,hd6,hd8,hd16,hd32,hd64,hd128
1,24.507052754973742,23.24269808386314,28.21943441616635,24.507202541661535,23.869052173443308,23.948359679047563,25.486188311295052,23.737456886605965,24.073748181183383
3,16.81939112266832,30.349237046425603,28.79083705573737,16.819433637616328,31.049411496208272,30.453452924909186,30.622689506525656,30.638978486531624,31.648343895627868
4,23.116485341820567,28.428992054514254,21.32052845156156,23.11652863096496,32.348140420398785,31.02935513598631,32.53954852302826,30.21014283204699,30.339946081354835
5,17.900849861510324,32.013604906236985,30.91771075704667,17.90105911988409,33.05201937031295,31.984896214311682,32.533577837957665,32.290265765542294,33.83516124333626
6,23.856071402888332,31.61289153234703,30.845192685244083,23.856071402888332,31.782540333919375,32.014899642350244,33.0420127226187,31.412447562343964,31.453897235142065
8,19.106409205540363,21.690801312340934,31.637384347921802,19.10640360948691,33.910090133060315,22.58381202456508,33.080776328175034,31.95210600531166,33.56668182632839
9,24.845581395253717,27.877801913507415,28.812920745237637,24.84595981639646,31.954998341155324,30.606234528187603,32.32917437801489,29.61383200778783,29.54614947343448
10,21.920164156797814,32.607853093921804,30.535655349999598,21.92016735768075,33.719386655723056,33.057184648281314,33.0650497281047,32.21669628653994,33.23090434972833
13,24.97345915151252,29.96473626474833,29.921576397223934,24.973649191471893,33.28139582293381,31.407618895799416,31.724161569930907,30.312214844884377,31.1184327107324
14,22.316785705344437,26.038877866026393,24.764977595079763,22.31674721855601,26.43548105609529,26.596029717705505,26.778257957845426,25.95510412664813,26.037328343999278
15,18.28664659956058,26.916726339068973,28.686803372639865,18.286645116099493,32.96159554950764,32.67970612215898,32.1183521223527,33.236256719140336,33.615925352760826
16,21.09703771484128,28.1535915631831,23.01913923723869,21.097151811714614,32.15074060192228,30.597701359714023,32.21564255490218,29.844076578232976,29.88404213273313
17,18.145452740707636,27.076260741273295,28.79308932348541,18.145470165473302,31.569106253938685,31.553092405335633,31.168083083091318,32.04901382924287,32.37656199148582
18,20.275324312801146,33.61224199064167,31.309069493527815,20.275228622729724,34.575701208679696,33.5169750216469,33.865004185981036,32.559683484642136,33.89204737897039
average,21.22619367615863,28.54187962200707,28.398165659150752,21.226265588758885,31.618547101235627,30.14495130857139,31.469179914987393,30.43059110110722,31.044226442629814
