,hd1,hd2,hd4,hd8,hd16,hd32,hd64,hd128
1,20.584961419571854,19.055000403175274,22.562422114821086,19.40877092452847,19.477804606325858,20.36725288151475,19.39750071842989,19.559708394604026
3,16.50191189600697,22.585167068390515,22.325278884640678,22.560133855522007,22.570983014202703,22.510318335903037,22.56577496627118,22.585878636655853
4,22.08380356976214,21.706612968599238,21.23680734543511,22.514298006340585,22.874061205453394,22.71491063122243,22.534291196263897,22.729514655165882
5,17.584795837724833,23.93056428998472,23.78583958591388,24.00352807460006,23.943838464429746,23.859562772785456,23.948233062443627,23.93178826441099
6,23.769584800498325,27.295033997085998,27.090994547629652,27.46895166531028,27.639426103232573,27.343301225499268,27.523952546441308,27.41091675399838
8,19.411529676929653,21.022593668070154,24.99989897832405,25.335886963638636,21.37865086929372,25.166482138032777,25.233823652787642,25.399870146563348
9,22.691109952417857,23.273882090414983,24.626123530201344,24.79202718875718,24.900550694800458,25.12127847757197,24.60788228324367,24.7356866864582
10,21.783838897201633,24.895990222099392,24.724972652364293,24.89660472257393,24.89569244102992,24.68525662046238,24.57178774952613,24.702065008357494
13,23.428105955273622,24.570375744369677,24.174381762604177,24.944354817689284,24.99580215570234,24.930150299702717,24.70196646256231,24.906675755147084
14,22.10306252202958,21.349928226852832,21.68820607478768,21.376744039384104,21.349388623306016,21.14791471307516,21.05234696132328,21.195559865317563
15,18.393083482898614,19.181262471541753,19.346287931433118,19.27436467593064,19.266279956188047,19.22733112941008,19.16816956054567,19.20850909425688
16,21.21476489550738,20.74941228151065,22.424013111034213,21.649387209602704,21.78715023276927,21.6928322677161,21.54772831317952,21.651964849710854
17,18.197715546210706,19.371493267928845,19.491244371315986,19.549480052026304,19.538351050259863,19.51166124075167,19.499098513512617,19.55055393889632
18,20.47408076682472,25.7297099527546,25.24170916478159,25.629890681703994,25.36989201354608,25.25844012103592,25.225506196026757,25.503402377175007
average,20.58731065848985,22.479787618055614,23.122727146806202,23.100315919829153,22.856276530752858,23.10976377533455,22.969861584468386,23.076578173336994
