,hd1,hd2,hd4,hd8,hd16,hd32,hd64,hd128
1,22.235186518289037,22.016842070821028,22.995414661672445,23.59510415351356,20.26883752577811,20.092555308070146,25.25155964010211,23.439524810473724
3,16.565996776666047,17.51828272194574,25.297858277463163,25.311536129938865,25.620795295754878,25.085558146486086,25.384858025755225,25.24799099297756
4,18.175018347309088,18.39044434023942,18.378979715325727,17.385986811486248,18.283553271296807,18.486934137693293,17.937758537102702,17.525306574521984
5,16.463231153255244,19.096901587161934,26.60050766753883,26.70056130900206,27.06112995228753,26.568235422222454,26.709867926050826,26.52557273635294
6,22.34603285397576,20.42384603843859,23.959898023475258,24.13529239361317,20.241783229729045,21.969997735934324,22.22645484392902,20.655041892887414
8,17.148752657750272,16.588790844447118,16.807189065092096,28.92289009215026,20.780598461093245,21.075625852673582,28.44930488568723,16.180221566336275
9,23.409858027594332,19.555727575069476,26.77163035186277,25.124967866307244,23.394831289102868,22.711636853624604,23.745272452010184,21.85323333398268
10,23.808021171933515,25.565051176719802,23.581427428730734,27.188627419055255,27.37911482671789,27.116323475841693,27.444135616373405,21.9823391968359
13,19.137119546193038,15.353655483708696,17.165854085648725,25.296923112975126,17.868800885250828,20.50693837947767,20.49480093624514,15.625068908953686
14,21.07187918893901,19.588597337185174,21.384891984974956,22.099583377788154,22.178193666576497,22.048846096743596,20.339758661138838,19.388197581978794
15,18.345974633084793,21.155117212953826,23.58180506905452,23.4583604419374,23.72078255228571,23.329029285014037,23.650717249785544,23.06962601175192
16,18.094319681166883,18.38773114736409,17.386996704011967,16.986309808602353,16.831362793586393,17.967585881780572,17.80177968098537,16.883552634566602
17,17.7426338015218,17.29897866905083,23.736204711368856,23.53009173534876,23.85056220663669,23.42055109547664,23.750880996180605,23.76881085901189
18,17.82444841777491,17.419055032451887,28.802377399140298,28.251348464106954,28.160899265966393,27.999257806360713,28.374846794174545,17.866752580956742
average,19.454890912532413,19.1685015169684,22.603645367525736,24.141970222558964,22.54580323014735,22.74136253409996,23.68299973182291,20.715088548684864
